Manufacturer,Jan,Feb,Mar,Apr,May,Jun,Jul,Aug,Sep,Oct,Nov,Dec
BMW Group,25678,25677,29232,28719,27656,27657,28042,29122,28042,36516,35858,38844
Daimler,23630,18513,27029,33749,32530,32530,28857,29970,27585,0,0,0
Ford Motor Company,142445,128229,158500,175942,150200,151182,162819,157062,141633,156917,144984,177840
General Motors,163622,163622,184174,197693,190371,190371,182357,189370,182393,210246,198960,215534
Honda Motor Company,73949,84394,108075,85658,75491,71048,71235,71461,79354,81545,79862,93843
Hyundai Kia Auto Group,86644,102963,123507,125770,121773,123440,128283,131874,120573,123186,124952,138629
Jaguar Land Rover,6469,6469,7278,4239,4102,4080,4939,5131,3821,1118,0,0
Karma Automotive,0,0,90,0,0,0,15,15,15,4,4,5
Lucid Group,0,0,0,0,0,500,197,205,197,283,272,295
Mazda,21079,28166,33023,30093,15312,15130,23393,25426,23770,25319,26906,27292
Nissan Motor Co,72795,72795,81893,70080,67483,67484,56236,58398,56237,70526,67703,73540
Rivian Automotive,0,0,900,0,0,700,2007,2085,2007,2000,1920,2080
Stellantis - FCA,129674,129671,145877,139621,135004,134451,126928,131806,126925,115892,111255,120527
Subaru Corporation,44158,44866,43322,45748,42526,43175,41536,50126,45658,48568,50138,56760
Tesla,37594,36202,89575,40568,39066,39066,37518,38962,37518,46667,44800,48533
Toyota Motor Corp,147120,156506,194178,180056,171351,132150,173406,164810,141265,179799,162538,174040
Volkswagen Group,36337,36337,40876,50418,48001,48001,50026,41300,50000,25452,24433,26469
Volvo,7110,6219,9627,10022,9372,10734,7625,8922,7384,10178,9905,11839
Total Sale Monthly,1018304,1040629,1277156,1218376,1130238,1091699,1125419,1136045,1074377,1134216,1084490,1206070
